f;u;r;value
Cuarto de Pollo Superior;7;2;0.0
Cuarto de Pollo Superior;8;2;809.9817183212094
Muslo Entero;1;2;0.0
Muslo Entero;2;2;0.0
Muslo Entero;3;2;0.0
Muslo Entero;4;2;0.0
Muslo Entero;5;2;0.0
Muslo Entero;6;2;0.0
Muslo Entero;7;2;0.0
Muslo Entero;8;2;145.7527145754068
Pechuga Completa;1;2;0.0
Pechuga Completa;2;2;0.0
Pechuga Completa;3;2;0.0
Pechuga Completa;4;2;0.0
Pechuga Completa;5;2;0.0
Pechuga Completa;6;2;0.0
Pechuga Completa;7;2;0.0
Pechuga Completa;8;2;2388.3542503338363
Ala Completa;1;2;0.0
Ala Completa;2;2;0.0
Ala Completa;3;2;0.0
Ala Completa;4;2;0.0
Ala Completa;5;2;0.0
Ala Completa;6;2;0.0
Ala Completa;7;2;0.0
Ala Completa;8;2;666.8172659720298
Media Pechuga;1;2;0.0
Media Pechuga;2;2;0.0
Media Pechuga;3;2;0.0
Media Pechuga;4;2;0.0
Media Pechuga;5;2;0.0
Media Pechuga;6;2;0.0
Media Pechuga;7;2;0.0
Media Pechuga;8;2;2465.2562579019805
Blanqueta;1;2;0.0
Blanqueta;2;2;0.0
Blanqueta;3;2;0.0
Blanqueta;4;2;0.0
Blanqueta;5;2;0.0
Blanqueta;6;2;0.0
Blanqueta;7;2;0.0
Blanqueta;8;2;0.0
Alón;1;2;0.0
Alón;2;2;0.0
Alón;3;2;0.0
Alón;4;2;0.0
Alón;5;2;0.0
Alón;6;2;0.0
Alón;7;2;0.0
Alón;8;2;0.0
Punta;1;2;0.0
Punta;2;2;0.0
Punta;3;2;0.0
Punta;4;2;0.0
Punta;5;2;0.0
Punta;6;2;0.0
Punta;7;2;0.0
Punta;8;2;0.0
Jamoncito;1;2;0.0
Jamoncito;2;2;0.0
Jamoncito;3;2;0.0
Jamoncito;4;2;0.0
Jamoncito;5;2;0.0
Jamoncito;6;2;0.0
Jamoncito;7;2;0.0
Jamoncito;8;2;0.0
Medio Muslo;1;2;0.0
Medio Muslo;2;2;0.0
Medio Muslo;3;2;0.0
Medio Muslo;4;2;0.0
Medio Muslo;5;2;0.0
Medio Muslo;6;2;0.0
Medio Muslo;7;2;0.0
Medio Muslo;8;2;196.86647334293048
Entero;1;3;0.0
Entero;2;3;0.0
Entero;3;3;0.0
Entero;4;3;0.0
Entero;5;3;0.0
Entero;6;3;0.0
Entero;7;3;0.0
Entero;8;3;1174.23208260309
Medio Pollo;1;3;0.0
Medio Pollo;2;3;0.0
Medio Pollo;3;3;0.0
Medio Pollo;4;3;0.0
Medio Pollo;5;3;0.0
Medio Pollo;6;3;0.0
Medio Pollo;7;3;0.0
Medio Pollo;8;3;586.7207420685609
Medio Pollo Superior;1;3;0.0
Medio Pollo Superior;2;3;0.0
Medio Pollo Superior;3;3;0.0
Medio Pollo Superior;4;3;0.0
Medio Pollo Superior;5;3;0.0
Medio Pollo Superior;6;3;0.0
Medio Pollo Superior;7;3;0.0
Medio Pollo Superior;8;3;0.0
Medio Pollo Inferior;1;3;0.0
Medio Pollo Inferior;2;3;0.0
Medio Pollo Inferior;3;3;0.0
Medio Pollo Inferior;4;3;0.0
Medio Pollo Inferior;5;3;0.0
Medio Pollo Inferior;6;3;0.0
Medio Pollo Inferior;7;3;0.0
Medio Pollo Inferior;8;3;1545.8799334017697
Cuarto de Pollo Superior;1;3;0.0
Cuarto de Pollo Superior;2;3;0.0
Cuarto de Pollo Superior;3;3;0.0
Cuarto de Pollo Superior;4;3;0.0
Cuarto de Pollo Superior;5;3;0.0
Cuarto de Pollo Superior;6;3;0.0
Cuarto de Pollo Superior;7;3;101.4399644683358
Cuarto de Pollo Superior;8;3;2443.064516129032
Muslo Entero;1;3;0.0
Muslo Entero;2;3;0.0
Muslo Entero;3;3;0.0
Muslo Entero;4;3;0.0
Muslo Entero;5;3;0.0
Muslo Entero;6;3;0.0
Muslo Entero;7;3;0.0
Muslo Entero;8;3;383.4807633055443
Pechuga Completa;1;3;0.0
Pechuga Completa;2;3;0.0
Pechuga Completa;3;3;0.0
Pechuga Completa;4;3;0.0
Pechuga Completa;5;3;0.0
Pechuga Completa;6;3;0.0
Pechuga Completa;7;3;0.0
Pechuga Completa;8;3;0.0
Ala Completa;1;3;0.0
Ala Completa;2;3;0.0
Ala Completa;3;3;0.0
Ala Completa;4;3;0.0
Ala Completa;5;3;0.0
Ala Completa;6;3;0.0
Ala Completa;7;3;0.0
Ala Completa;8;3;692.9730381286055
Media Pechuga;1;3;0.0
Media Pechuga;2;3;0.0
Media Pechuga;3;3;0.0
Media Pechuga;4;3;0.0
Media Pechuga;5;3;0.0
Media Pechuga;6;3;0.0
Media Pechuga;7;3;0.0
Media Pechuga;8;3;330.9360614471657
Blanqueta;1;3;0.0
Blanqueta;2;3;0.0
Blanqueta;3;3;0.0
Blanqueta;4;3;0.0
Blanqueta;5;3;0.0
Blanqueta;6;3;0.0
Blanqueta;7;3;0.0
Blanqueta;8;3;126.48365878175272
Alón;1;3;0.0
Alón;2;3;0.0
Alón;3;3;0.0
Alón;4;3;0.0
Alón;5;3;0.0
Alón;6;3;0.0
Alón;7;3;0.0
Alón;8;3;43.31255868898771
Punta;1;3;0.0
Punta;2;3;0.0
Punta;3;3;0.0
Punta;4;3;0.0
Punta;5;3;0.0
Punta;6;3;0.0
Punta;7;3;0.0
Punta;8;3;7.4634822762932345
Jamoncito;1;3;0.0
Jamoncito;2;3;0.0
Jamoncito;3;3;0.0
Jamoncito;4;3;0.0
Jamoncito;5;3;0.0
Jamoncito;6;3;0.0
Jamoncito;7;3;0.0
Jamoncito;8;3;1515.518178651449
Medio Muslo;1;3;0.0
Medio Muslo;2;3;0.0
Medio Muslo;3;3;0.0
Medio Muslo;4;3;0.0
Medio Muslo;5;3;0.0
Medio Muslo;6;3;0.0
Medio Muslo;7;3;0.0
Medio Muslo;8;3;1308.904099887855
Entero;1;4;0.0
Entero;2;4;0.0
Entero;3;4;0.0
Entero;4;4;0.0
Entero;5;4;0.0
Entero;6;4;0.0
Entero;7;4;0.0
Entero;8;4;0.0
Medio Pollo;1;4;0.0
Medio Pollo;2;4;0.0
Medio Pollo;3;4;0.0
Medio Pollo;4;4;0.0
Medio Pollo;5;4;0.0
Medio Pollo;6;4;0.0
Medio Pollo;7;4;0.0
Medio Pollo;8;4;312.25493664933447
Medio Pollo Superior;1;4;0.0
Medio Pollo Superior;2;4;0.0
Medio Pollo Superior;3;4;0.0
Medio Pollo Superior;4;4;0.0
Medio Pollo Superior;5;4;0.0
Medio Pollo Superior;6;4;0.0
Medio Pollo Superior;7;4;0.0
Medio Pollo Superior;8;4;210.20469929371575
Medio Pollo Inferior;1;4;0.0
Medio Pollo Inferior;2;4;0.0
Medio Pollo Inferior;3;4;0.0
Medio Pollo Inferior;4;4;0.0
Medio Pollo Inferior;5;4;0.0
Medio Pollo Inferior;6;4;0.0
Medio Pollo Inferior;7;4;0.0
Medio Pollo Inferior;8;4;0.0
Cuarto de Pollo Superior;1;4;0.0
Cuarto de Pollo Superior;2;4;0.0
Cuarto de Pollo Superior;3;4;0.0
Cuarto de Pollo Superior;4;4;0.0
Cuarto de Pollo Superior;5;4;0.0
Cuarto de Pollo Superior;6;4;0.0
Cuarto de Pollo Superior;7;4;0.0
Cuarto de Pollo Superior;8;4;0.0
Muslo Entero;1;4;0.0
Muslo Entero;2;4;0.0
Muslo Entero;3;4;0.0
Muslo Entero;4;4;0.0
Muslo Entero;5;4;0.0
Muslo Entero;6;4;0.0
Muslo Entero;7;4;0.0
Muslo Entero;8;4;0.0
Pechuga Completa;1;4;0.0
Pechuga Completa;2;4;0.0
Pechuga Completa;3;4;0.0
Pechuga Completa;4;4;0.0
Pechuga Completa;5;4;0.0
Pechuga Completa;6;4;0.0
Pechuga Completa;7;4;0.0
Pechuga Completa;8;4;384.0872390882846
Ala Completa;1;4;0.0
Ala Completa;2;4;0.0
Ala Completa;3;4;0.0
Ala Completa;4;4;0.0
Ala Completa;5;4;0.0
Ala Completa;6;4;0.0
Ala Completa;7;4;0.0
Ala Completa;8;4;923.8379232127544
Media Pechuga;1;4;0.0
Media Pechuga;2;4;0.0
Media Pechuga;3;4;0.0
Media Pechuga;4;4;0.0
Media Pechuga;5;4;0.0
Media Pechuga;6;4;0.0
Media Pechuga;7;4;0.0
Media Pechuga;8;4;2866.117133399878
Blanqueta;1;4;0.0
Blanqueta;2;4;0.0
Blanqueta;3;4;0.0
Blanqueta;4;4;0.0
Blanqueta;5;4;0.0
Blanqueta;6;4;0.0
Blanqueta;7;4;0.0
Blanqueta;8;4;107.88456928329916
Alón;1;4;0.0
Alón;2;4;0.0
Alón;3;4;0.0
Alón;4;4;0.0
Alón;5;4;0.0
Alón;6;4;0.0
Alón;7;4;0.0
Alón;8;4;0.0
Punta;1;4;0.0
Punta;2;4;0.0
Punta;3;4;0.0
Punta;4;4;0.0
Punta;5;4;0.0
Punta;6;4;0.0
Punta;7;4;10.981352588283844
Punta;8;4;23.432258064516127
Jamoncito;1;4;0.0
Jamoncito;2;4;0.0
Jamoncito;3;4;0.0
Jamoncito;4;4;0.0
Jamoncito;5;4;0.0
Jamoncito;6;4;0.0
Jamoncito;7;4;0.0
Jamoncito;8;4;81.74991547258605
Medio Muslo;1;4;0.0
Medio Muslo;2;4;0.0
Medio Muslo;3;4;0.0
Medio Muslo;4;4;0.0
Medio Muslo;5;4;0.0
Medio Muslo;6;4;0.0
Medio Muslo;7;4;0.0
Medio Muslo;8;4;1276.081395120253
Entero;1;5;0.0
Entero;2;5;0.0
Entero;3;5;0.0
Entero;4;5;0.0
Entero;5;5;0.0
Entero;6;5;0.0
Entero;7;5;0.0
Entero;8;5;0.0
Medio Pollo;1;5;0.0
Medio Pollo;2;5;0.0
Medio Pollo;3;5;0.0
Medio Pollo;4;5;0.0
Medio Pollo;5;5;0.0
Medio Pollo;6;5;0.0
Medio Pollo;7;5;0.0
Medio Pollo;8;5;357.3063169014522
Medio Pollo Superior;1;5;0.0
Medio Pollo Superior;2;5;0.0
Medio Pollo Superior;3;5;0.0
Medio Pollo Superior;4;5;0.0
Medio Pollo Superior;5;5;0.0
Medio Pollo Superior;6;5;0.0
Medio Pollo Superior;7;5;0.0
Medio Pollo Superior;8;5;1023.8040888152982
Medio Pollo Inferior;1;5;0.0
Medio Pollo Inferior;2;5;0.0
Medio Pollo Inferior;3;5;0.0
Medio Pollo Inferior;4;5;0.0
Medio Pollo Inferior;5;5;0.0
Medio Pollo Inferior;6;5;0.0
Medio Pollo Inferior;7;5;0.0
Medio Pollo Inferior;8;5;876.3078463641605
Cuarto de Pollo Superior;1;5;0.0
Cuarto de Pollo Superior;2;5;0.0
Cuarto de Pollo Superior;3;5;0.0
Cuarto de Pollo Superior;4;5;0.0
Cuarto de Pollo Superior;5;5;0.0
Cuarto de Pollo Superior;6;5;0.0
Cuarto de Pollo Superior;7;5;0.0
Cuarto de Pollo Superior;8;5;553.6960624631579
Muslo Entero;1;5;0.0
Muslo Entero;2;5;0.0
Muslo Entero;3;5;0.0
Muslo Entero;4;5;0.0
Muslo Entero;5;5;0.0
Muslo Entero;6;5;0.0
Muslo Entero;7;5;0.0
Muslo Entero;8;5;68.80659616479397
Pechuga Completa;1;5;0.0
Pechuga Completa;2;5;0.0
Pechuga Completa;3;5;0.0
Pechuga Completa;4;5;0.0
Pechuga Completa;5;5;0.0
Pechuga Completa;6;5;0.0
Pechuga Completa;7;5;58.674888176408786
Pechuga Completa;8;5;2851.935483870968
Ala Completa;1;5;0.0
Ala Completa;2;5;0.0
Ala Completa;3;5;0.0
Ala Completa;4;5;0.0
Ala Completa;5;5;0.0
Ala Completa;6;5;0.0
Ala Completa;7;5;0.0
Ala Completa;8;5;192.01084150450674
Media Pechuga;1;5;0.0
Media Pechuga;2;5;0.0
Media Pechuga;3;5;0.0
Media Pechuga;4;5;0.0
Media Pechuga;5;5;0.0
Media Pechuga;6;5;0.0
Media Pechuga;7;5;0.0
Media Pechuga;8;5;0.0
Blanqueta;1;5;0.0
Blanqueta;2;5;0.0
Blanqueta;3;5;0.0
Blanqueta;4;5;0.0
Blanqueta;5;5;0.0
Blanqueta;6;5;0.0
Blanqueta;7;5;0.0
Blanqueta;8;5;20.03638027285453
Alón;1;5;0.0
Alón;2;5;0.0
Alón;3;5;0.0
Alón;4;5;0.0
Alón;5;5;0.0
Alón;6;5;0.0
Alón;7;5;0.0
Alón;8;5;23.02670937862826
Punta;1;5;0.0
Punta;2;5;0.0
Punta;3;5;0.0
Punta;4;5;0.0
Punta;5;5;0.0
Punta;6;5;0.0
Punta;7;5;0.0
Punta;8;5;16.2425530825835
Jamoncito;1;5;0.0
Jamoncito;2;5;0.0
Jamoncito;3;5;0.0
Jamoncito;4;5;0.0
Jamoncito;5;5;0.0
Jamoncito;6;5;0.0
Jamoncito;7;5;0.0
Jamoncito;8;5;0.0
Medio Muslo;1;5;0.0
Medio Muslo;2;5;0.0
Medio Muslo;3;5;0.0
Medio Muslo;4;5;0.0
Medio Muslo;5;5;0.0
Medio Muslo;6;5;0.0
Medio Muslo;7;5;0.0
Medio Muslo;8;5;0.0
